lamb,seed,n_unobs,n_pos,auc,sib_conv
0.5,36,210,134,0.998232521602514,False
0.5,37,210,149,0.999779953790296,False
0.5,38,210,116,0.9971570066030814,False
0.5,39,210,79,0.9782587689631848,False
0.5,40,210,87,0.990281282123166,False
0.5,41,210,93,0.9704071316974544,False
0.5,42,210,100,0.9992727272727272,False
0.5,43,210,154,0.9964053803339518,False
0.5,44,210,82,0.9918064024390244,False
0.5,45,210,95,0.9867276887871854,False
0.5,46,210,121,0.9877425944841676,False
0.5,47,210,113,0.9972630234467658,False
0.5,48,210,157,0.9978367984617234,False
0.5,49,210,100,0.9989090909090907,False
0.5,50,210,138,0.9869162640901772,False
